video_id,title,channel_title,category_id,views,likes,dislikes,comment_count,year
0pNCxK0Hdl8,DECORACIONES PARA NAVIDAD - IDEAS PARA DECORAR TU MESA DE CENTRO - SILVIA EN TU VIDA,Silvia en tu Vida,1,11553,1225,44,276,2017
JzCsM1vtn78,THE LOGANG MADE HISTORY. LOL. AGAIN.,Logan Paul Vlogs,24,4477587,292841,4124,36391,2017
Dx7S34lNt6A,PARA TI ðŸŽ...con todo el amor de mi corazÃ³n Ãbrelo,Frases de Amor,22,41887,1138,48,39,2017
QSwlPz3ruYA,Caballo Sereno despide emotivamente a su dueÃ±o en su funeral,top virar,22,11633,191,13,5,2017
Nfd31XfFZ94,"GASTE 10,000 DOLARES EN MI NUEVO MUSIC VIDEO",Aaron Echeverria,22,61222,3982,172,448,2017
jRl689eyaWg,AYÃšDAME SEÃ‘OR #ReflexiÃ³n,lili1623,22,6143,727,13,19,2017
Zw5jzd4BvBY,Un dia muy movido|||||| ãƒ„ ðŸš—,pepenaker,15,2244,305,6,81,2017
PpvzVcnICJo,Miraculous Ladybug | La Befana | Temporada 2 CapÃ­tulo 4 | AnÃ¡lisis y teorÃ­as ðŸ”ðŸ¤”,Alfrely,1,100352,7793,83,1680,2017
Ttqo0pFoAAM,"Rezo de Laudes y Misa Coral del Cabildo, 13 de Noviembre de 2017, 8:30 hrs.",BasÃ­lica de Guadalupe A.R,27,2032,69,3,0,2017
RtPf3dHF8uM,La ex Timbiriche Alexa Lozano se siente diva y desaira a los coaches en la voz MÃ©xico,EspectÃ¡culo ShowTV,22,30726,39,22,35,2017
xQW3-CeUV2c,"Decidieron sacrificar a este perro con cara torcida, pero nadie imaginÃ³ lo que pasarÃ­a un dÃ­a antes.",STR Noticias,15,10120,1242,26,175,2017
dTuYRCf-G1E,"Las Noticias de la maÃ±ana, lunes 13 de noviembre de 2017 | Noticiero | Telemundo",Noticias Telemundo,25,36827,231,22,54,2017
MGeSKdq1V20,Iraqi Kurdistan Earthquake live during an interview on Rudaw chanel !!,Ahmed Nasradin,22,3033,12,0,0,2017
Mwsy6T99j04,"Chucky Lozano Puede Ser Estrella Mundial, JosÃ© RamÃ³n Critica que se Elogie Mucho Doblete a BÃ©lgica",Estadio Videos Play,17,33278,109,18,74,2017
5qpjK5DgCt4,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons",Rudy Mancuso,23,3191442,146043,5339,8181,2017
CZCQH6DGX3w,Ventanilla: profesora de 35 aÃ±os sedujo a su alumna de solo 14 aÃ±os,Latina Noticias,22,33363,84,27,168,2017
i0TXj8cjVfs,El Gran Secreto del BitCoin,Mundo Desconocido,28,162706,7211,417,2022,2017
hcuAuv-kkyg,EL VUELO DE LA VICTORIA CAPÃTULO FINAL PARTE 2,Dennis Stefania,23,56195,222,57,37,2017
_0FiEmKkIHU,TERREMOTO 6.5 EN COSTA RICA 12/11/2017,ElJuanjoSabe,25,6481,20,0,2,2017
e_XgSU1X4Ms,Preocupa a Chiapas que se â€œsequenâ€ cascadas de Agua Azul RH Noticias 13/11/2017,RH Noticias,22,2740,209,5,24,2017
7J44ynoFWSk,ADORNO NAVIDEÃ‘O Y SOUVENIR PARA TODA OCASIÃ“N,KLAUS SUS BORDADOS DE LISTON Y MANUALIDADES,26,3639,451,7,44,2017
jAdVVPw3Sao,MustafÃ¡ tendrÃ¡ una nueva aliada para detener a HÃ¼rrem en El SultÃ¡n,Imagen FicciÃ³n,24,3203,27,1,1,2017
Nr3AuidaiSo,TODO sobre el MISTERIOSO caso de JOHN F. KENNEDY (JFK) | Paulettee,Paulettee,24,327514,31437,247,2839,2017
Nr3AuidaiS2,Telenovelas mejores momentos,videos virales mexico,24,43214,1354,123,1532,2017
